stock,sector
TVSMOTOR,Automobile
CUMMINSIND,Capital_Goods
ADANIPOWER,Power
BHARTIARTL,Telecom
FORTIS,Healthcare
PERSISTENT,IT
TORNTPHARM,Pharma
MAXHEALTH,Healthcare
OIL,Oil_Gas
ABB,Capital_Goods
SUNPHARMA,Pharma
NTPC,Power
M&M,Automobile
TRENT,Retail
BHEL,Capital_Goods
PRESTIGE,Real_Estate
JINDALSTEL,Metals
TITAN,Consumer_Durables
SBIN,Financial_Services
TATAPOWER,Power
ASHOKLEY,Automobile
VEDL,Metals
EICHERMOT,Automobile
NMDC,Metals
LT,Capital_Goods
JSWSTEEL,Metals
BAJAJ-AUTO,Automobile
IOC,Oil_Gas
CHOLAFIN,Financial_Services
HINDALCO,Metals
APOLLOHOSP,Healthcare
POWERGRID,Power
TATASTEEL,Metals
INDIGO,Others
OBEROIRLTY,Real_Estate
ESCORTS,Automobile
ONGC,Oil_Gas
ICICIBANK,Financial_Services
HINDPETRO,Oil_Gas
SBILIFE,Financial_Services
LUPIN,Pharma
BOSCHLTD,Capital_Goods
ALKEM,Pharma
GRASIM,Cement
ADANIENT,Others
MARICO,FMCG
SAIL,Metals
MARUTI,Automobile
COFORGE,IT
ADANIPORTS,Logistics
HINDZINC,Metals
DLF,Real_Estate
DIVISLAB,Pharma
BAJAJFINSV,Financial_Services
BRITANNIA,FMCG
TATACONSUM,FMCG
ULTRACEMCO,Cement
SIEMENS,Capital_Goods
HEROMOTOCO,Automobile
AXISBANK,Financial_Services
CIPLA,Pharma
PIDILITIND,Paints
BAJFINANCE,Financial_Services
AMBUJACEM,Cement
HDFCAMC,Financial_Services
GODREJCP,FMCG
AUROPHARMA,Pharma
BPCL,Oil_Gas
ITC,FMCG
DRREDDY,Pharma
MOTHERSON,Others
NESTLEIND,FMCG
VOLTAS,Consumer_Durables
MPHASIS,IT
HCLTECH,IT
PIIND,Others
TECHM,IT
RELIANCE,Oil_Gas
GODREJPROP,Real_Estate
DMART,Retail
ICICIGI,Financial_Services
HAVELLS,Consumer_Durables
LTTS,IT
COLPAL,FMCG
ADANIGREEN,Others
PAGEIND,Others
CONCOR,Logistics
BIOCON,Pharma
UPL,Others
WESTLIFE,Retail
RAMCOCEM,Cement
INDUSINDBK,Telecom
HDFCBANK,Financial_Services
WIPRO,IT
KOTAKBANK,Financial_Services
JUBLFOOD,Retail
INFY,IT
HDFCLIFE,Financial_Services
ASIANPAINT,Paints
HINDUNILVR,FMCG
